抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率,語言
2026-08-18,新歌榜,81,Always Been You,VZEUS,Always Been You,2026-08-07,-,-,西洋
2026-08-18,新歌榜,82,kiss me,Ariana Grande,petal (Explicit),2026-07-31,RJHxDOD66mk,"5,537,696",西洋
2026-08-18,新歌榜,83,Less than a Lover,JENNIE,Less than a Lover,2026-07-24,_IT83Y_HcAw,"22,054,527",西洋
2026-08-18,新歌榜,84,夜喵子,Sus.,夜喵子,2026-07-29,Kjf8CkCgVAI,"3,684",華語
2026-08-18,新歌榜,85,Lollipop (GISELLE & NINGNING),aespa,SYNK : aeXIS LINE - 2026 Special Digital Single,2026-08-09,isqsKaUoMFA,"775,303",韓語
2026-08-18,新歌榜,86,月像,刘宇,月像·开始奏乐开始舞,2026-08-09,U3vtRkUX6OY,"14,695",華語
2026-08-18,新歌榜,87,All Soul Peace,Vnriet/DarK Haye,One Thou Calm (Slap House),2026-07-27,-,-,西洋
2026-08-18,新歌榜,88,No Boundaries,周深/北京环球度假区,环球五周年，任你超无限,2026-08-02,f5vn-DcImgg,"4,838",華語
2026-08-18,新歌榜,89,少年有种,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,我们的少年时代2 影视原声带,2026-08-16,jWSWPa4G8ts,"5,491",華語
2026-08-18,新歌榜,90,Forever July,宣美,Forever July,2026-07-15,-,-,韓語
2026-08-18,新歌榜,91,吹吹山顶的风,杨小壮,吹吹山顶的风,2026-08-05,relM8XBrdpM,"2,903",華語
2026-08-18,新歌榜,92,梦哑,云汐,梦哑,2026-07-20,JucVZ39qDjM,"116,325",華語
2026-08-18,新歌榜,93,Hey Hi,KiiiKiii,WhyKiiiKiii,2026-08-10,TUU00zw6cgM,"364,759",西洋
2026-08-18,新歌榜,94,为你我受冷风吹,羊羊,为你我受冷风吹,2026-08-05,-,-,華語
2026-08-18,新歌榜,95,爱河（如果晚霞绕过火车）,正在进行石女士,爱河（如果晚霞绕过火车）,2026-08-14,-,-,華語
2026-08-18,新歌榜,96,hate that i made you love me,Ariana Grande,petal (Explicit),2026-07-31,82-jTNka3uc,"72,344,019",西洋
2026-08-18,新歌榜,97,漫山雪（你看呐山外又飘来满山雪）,小阿枫,漫山雪（你看呐山外又飘来满山雪）,2026-08-07,ekbvEKjaO1c,"6,500",華語
2026-08-18,新歌榜,98,Sunburst,RIIZE,Sunburst,2026-07-26,jAI0LeyASwI,"316,205",韓語
2026-08-18,新歌榜,99,窒息 (那天我哭到窒息),何洁,窒息 (那天我哭到窒息),2026-07-25,6c3IkKBudYY,"32,995",華語
2026-08-18,新歌榜,100,失重色,世勋,失重色,2026-07-29,s_dLEabS-mw,"261,723",華語
