抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,語言,YouTube ID,點閱率
2026-08-31,抖音熱歌榜,69,幻听,许嵩,梦游计,2012-07-11,華語,IdI4JOqlvVU,"3,794,241"
2026-08-31,抖音熱歌榜,70,一程山路,毛不易,小王,2020-02-20,華語,0RzlgXAsJgs,"3,115,422"
2026-08-31,抖音熱歌榜,71,心墙,郭静,在树上唱歌,2009-05-22,華語,VhCRokYVF1I,"32,055,416"
2026-08-31,抖音熱歌榜,72,青花,周传雄,蓝色土耳其,2007-10-24,華語,WfYO_Q2n-Vk,"3,386,844"
2026-08-31,抖音熱歌榜,73,从前说,小阿七,从前说,2021-12-29,華語,hEMRM6J7LlY,"35,362,870"
2026-08-31,抖音熱歌榜,74,不遗憾,李荣浩,你的婚礼 电影原声带,2021-05-08,華語,u5ZsoP8FZUQ,"25,570,578"
2026-08-31,抖音熱歌榜,75,泡沫,G.E.M. 邓紫棋,Xposed,2012-07-05,華語,mGeiABBB5f8,"19,028,349"
2026-08-31,抖音熱歌榜,76,夏夜最后的烟火,颜人中,夏夜最后的烟火,2024-01-01,華語,SVdZy0uZBUg,"13,194,611"
2026-08-31,抖音熱歌榜,77,失控,井迪,失控,2020-11-20,華語,0swKZBxTNEQ,"16,941,116"
2026-08-31,抖音熱歌榜,78,Letting Go,蔡健雅,说到爱,2011-11-18,華語,SMXWjumui5s,"21,187,298"
2026-08-31,抖音熱歌榜,79,愿与愁,林俊杰,重拾_快乐,2023-04-21,華語,MISqtaNt1vg,"6,877,598"
2026-08-31,抖音熱歌榜,80,指纹,杜宣达,指纹,2021-11-02,華語,oAxs4Ou1N_M,"18,091,492"
2026-08-31,抖音熱歌榜,81,不将就,李荣浩,有理想,2016-01-22,華語,a9ot-Fa9KHk,"32,685,601"
2026-08-31,抖音熱歌榜,82,此生不换,青鸟飞鱼,仙剑奇侠传三 电视剧原声带,2009-06-18,華語,yz80TCsFDaA,"1,739,664"
2026-08-31,抖音熱歌榜,83,别怕变老,王以太/艾热AIR,幸存者的负罪感 (Explicit),2021-09-09,華語,97--ipTEtJs,"5,423,853"
2026-08-31,抖音熱歌榜,84,无名的人,毛不易,无名的人,2021-12-14,華語,LgNT-a_ekC8,"10,044,405"
2026-08-31,抖音熱歌榜,85,广东爱情故事,广东雨神,广东爱情故事,2017-10-19,華語,enkDpwX9Ryc,"27,345,788"
2026-08-31,抖音熱歌榜,86,一样的月光,徐佳莹,LaLa首张创作专辑,2009-05-29,華語,J28oOfvNVD8,"10,097,611"
2026-08-31,抖音熱歌榜,87,不分手的恋爱,汪苏泷,好安静,2011-09-09,華語,oTG_6WKh_4c,"7,036,093"
2026-08-31,抖音熱歌榜,88,你要的全拿走,胡彦斌,覅忒好,2018-01-26,華語,9HDHnU-Vl0g,"60,107,257"
2026-08-31,抖音熱歌榜,89,爱的回归线,陈韵若/陈每文,爱情公寓3 电视剧原声带,2012-07-31,華語,SYZFnqPXLGI,"139,063"
2026-08-31,抖音熱歌榜,90,句号,G.E.M. 邓紫棋,摩天动物园,2019-12-27,華語,7XlqcS6B7WA,"66,583,196"
2026-08-31,抖音熱歌榜,91,只对你有感觉,飞轮海/田馥甄,东方茱丽叶 电视原声带,2006-06-16,華語,f9Y7Aulvb0k,"132,256"
2026-08-31,抖音熱歌榜,92,可不可以,张紫豪,可不可以,2018-05-03,華語,hgIDXTmmgDg,"149,671,238"
2026-08-31,抖音熱歌榜,93,一直很安静,阿桑,仙剑奇侠传 电视剧原声带,2005-01-21,華語,XQgXzPFZbzA,"6,293,957"
2026-08-31,抖音熱歌榜,94,老街,李荣浩,小黄,2010-09-09,華語,XadF4AbmHeA,"10,072,389"
2026-08-31,抖音熱歌榜,95,如果爱忘了,汪苏泷/单依纯,声生不息·家年华 第12期,2024-02-17,華語,40iCGaUhTbE,"29,821,879"
2026-08-31,抖音熱歌榜,96,如果可以,韦礼安,如果可以,2021-11-05,華語,8MG--WuNW1Y,"207,009,471"
2026-08-31,抖音熱歌榜,97,盗墓笔记·十年人间,李常超（Lao乾妈）,盗墓笔记·十年人间,2018-07-31,華語,RZ7-YyBLphs,"2,666,776"
2026-08-31,抖音熱歌榜,98,最后一页,江语晨,恋习,2010-09-17,華語,UDyhT-6Idek,"21,721,643"
2026-08-31,抖音熱歌榜,99,感谢你曾来过,Ayo97/周思涵,卧龙与酒,2020-03-26,華語,hVlmlDwhpWY,"107,980,770"
2026-08-31,抖音熱歌榜,100,刻在我心底的名字,卢广仲,刻在我心底的名字,2020-08-25,華語,m78lJuzftcc,"81,461,127"
