抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率
2026-08-17,綜藝新歌榜,60,歌曲：别来无恙,任素汐/毛不易,2026中央广播电视总台春节联欢晚会,2026-02-16,mrBFVtVS69k,"243,694"
2026-08-17,綜藝新歌榜,61,是非题,王赫野,音你而来3 第1期,2026-04-10,sc9LdPzku6Y,"1,664,021"
2026-08-17,綜藝新歌榜,62,迟迟,薛之谦,天赐的声音第七季 第1期,2026-06-12,v41tTfBMxvw,"723,096"
2026-08-17,綜藝新歌榜,63,亲爱的你，好久不见,黄子弘凡/黄霄雲/孙楠/谭松韵/王铮亮/杨丞琳/姚晓棠/曾舜晞,《天赐的声音第七季》综艺主题曲,2026-06-12,Z6SeWv1-etI,"21,505"
2026-08-17,綜藝新歌榜,64,Trouble Maker (麻烦你了),那奇沃夫/Yamy郭颖,说唱巅峰对决2026 第3期,2026-07-11,BcR8bAFlFb4,"331,541"
2026-08-17,綜藝新歌榜,65,一个人想着一个人,姚晓棠/王栎鑫,天赐的声音第七季 第2期,2026-06-19,7OSCbE5cs3M,"937,452"
2026-08-17,綜藝新歌榜,66,西厢寻他,黄霄雲/刘宇,天赐的声音第七季 第5期,2026-07-10,bEYpckbqqhs,"4,138,284"
2026-08-17,綜藝新歌榜,67,空中飞人,窦靖童,歌手2026 第12期,2026-08-08,SfwS7M3gWvo,"622,590"
2026-08-17,綜藝新歌榜,68,哪凉快哪去,刘凤瑶/张玮/曾一鸣/李琦/派克特/蒋一帆,天赐的声音第七季 第8期,2026-07-31,324tP6l2r4U,"5,347"
2026-08-17,綜藝新歌榜,69,我要找到你,刘惜君,国乐无双 第5期,2026-06-20,DtXgoZG_Q8E,"80,653"
2026-08-17,綜藝新歌榜,70,平日快乐 + Rasa Sayang,尤长靖/龚琳娜,歌手2026 第12期,2026-08-08,E4C10xM-4N8,"43,665"
2026-08-17,綜藝新歌榜,71,月光与吻痕,杨宗纬/欢子/喻言,天赐的声音第七季 第7期,2026-07-24,N5COHYSS51o,"60,195"
2026-08-17,綜藝新歌榜,72,敬昨天敬今天敬明天,李大奔BENZO/SHarK,说唱巅峰对决2026 第6期,2026-08-01,_ivYo5vxOAQ,"34,817"
2026-08-17,綜藝新歌榜,73,苹果香,乌兰图雅/白小白,天赐的声音第七季 第8期,2026-07-31,RlLsRgd9Hu8,"7,306"
2026-08-17,綜藝新歌榜,74,爱错,王铮亮/黄子弘凡,天赐的声音第七季 第6期,2026-07-17,7Oo9x9gGUNQ,"96,842"
2026-08-17,綜藝新歌榜,75,综艺说唱歌手,布瑞吉Bridge,说唱巅峰对决2026 第7期,2026-08-08,sixjwB8gi8I,"37,045"
2026-08-17,綜藝新歌榜,76,最好的伴,宝石Gem,最好的伴,2026-06-25,zmJGRcO0wKw,"5,471"
2026-08-17,綜藝新歌榜,77,手掌,盛宇D-SHINE/加木,说唱巅峰对决2026 第3期,2026-07-11,4W3xtg7jLVo,"68,726"
2026-08-17,綜藝新歌榜,78,第一次爱的人,姚晓棠/袁一琦,音你而来3 第8期,2026-05-29,EQBkiZKP-DA,"41,557"
2026-08-17,綜藝新歌榜,79,我好想你•一 一,王菀之,国乐无双 第4期,2026-06-13,ctWxU3u2JD8,"91,322"
2026-08-17,綜藝新歌榜,80,壁上观,张远,歌手2026 第5期,2026-06-20,Yaux7Dr7Nk0,"260,397"
2026-08-17,綜藝新歌榜,81,我爱的是爱我的你,杨宗纬/高睿,天赐的声音第七季 第5期,2026-07-10,KPnvtYmFe9c,"113,480"
2026-08-17,綜藝新歌榜,82,爱，我不要丢下我,锤娜丽莎,国乐无双 第11期,2026-08-08,sYS6Ceyb_z0,"5,058"
2026-08-17,綜藝新歌榜,83,外婆的澎湖湾 + 光阴的故事,齐豫,歌手2026 第12期,2026-08-08,-d3cgGrL8O4,"46,708"
2026-08-17,綜藝新歌榜,84,忘了你 忘了我,周蕙,国乐无双 第11期,2026-08-08,FwTNSbNkRLM,"61,696"
2026-08-17,綜藝新歌榜,85,电子布洛芬,AThree/那奇沃夫,说唱巅峰对决2026 第6期,2026-08-01,6C1hjh8zXTk,"39,718"
2026-08-17,綜藝新歌榜,86,言不由衷,黄子弘凡/Rapeter,天赐的声音第七季 第7期,2026-07-24,EEHVG_c4kgo,"82,994"
2026-08-17,綜藝新歌榜,87,寂寞寂寞不好,Ghost (王琳凯)/张新成,音你而来 - 特别解锁,2026-04-17,2N5Toskbpvo,"19,554"
2026-08-17,綜藝新歌榜,88,你看你看月亮的脸,张磊,魔力歌先生 第1期,2026-03-13,xgZRTzxcJHU,"42,852"
2026-08-17,綜藝新歌榜,89,唤醒我,万妮达Vinida Weng,歌手2026 第11期,2026-08-01,N_AgrXXy244,"803,938"
2026-08-17,綜藝新歌榜,90,忐白门,莫文蔚,国乐无双 第6期,2026-06-27,6vKU1g2Fgm0,"79,825"
2026-08-17,綜藝新歌榜,91,有我呢,陈楚生/姚晓棠,天赐的声音第七季 第3期,2026-06-26,nSz9i_Xq26Y,"273,762"
2026-08-17,綜藝新歌榜,92,Surprise (惊喜),早安,说唱巅峰对决2026 第2期,2026-07-04,U3i8jJNLuT0,"227,977"
2026-08-17,綜藝新歌榜,93,酒鬼的歌,李宇春,国乐无双 第10期,2026-08-01,wwdm5AHp0Nw,"1,963"
2026-08-17,綜藝新歌榜,94,Don't Break My Heart,窦靖童,歌手2026 第1期,2026-05-23,klCd4FKdTWc,"1,809,989"
2026-08-17,綜藝新歌榜,95,闭嘴跳舞,尤长靖,歌手2026 第12期,2026-08-08,xczI-mUuM90,"29,830"
2026-08-17,綜藝新歌榜,96,孤单北半球,王赫野/张星特,音你而来3 第3期,2026-04-24,ZkZGMN623zQ,"169,571"
2026-08-17,綜藝新歌榜,97,匿名的好友,杨丞琳/黄子弘凡,天赐的声音第七季 第2期,2026-06-19,s9hGDIpwfXw,"18,437,715"
2026-08-17,綜藝新歌榜,98,人生路漫漫,孙楠/白小白/加木,天赐的声音第七季 第1期,2026-06-12,Juof_QKfgn8,"28,180"
2026-08-17,綜藝新歌榜,99,第一次做人,张远,歌手2026 第10期,2026-07-25,nq6RG6-A-Xs,"984,378"
2026-08-17,綜藝新歌榜,100,是你没选我啊,张新成/吉娜·爱丽丝,音你而来3 第9期,2026-06-05,Fv8K_Opd-_o,"21,693"
