抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,語言,YouTube ID,點閱率
2026-08-30,綜藝新歌榜,60,遗失的心跳,周笔畅/喻言,天赐的声音第七季 第9期,2026-08-07,華語,ZZudhk8lcC4,"26,672"
2026-08-30,綜藝新歌榜,61,Trouble Maker (麻烦你了),那奇沃夫/Yamy郭颖,说唱巅峰对决2026 第3期,2026-07-11,華語,BcR8bAFlFb4,"401,242"
2026-08-30,綜藝新歌榜,62,是非题,王赫野,音你而来3 第1期,2026-04-10,華語,sc9LdPzku6Y,"1,682,494"
2026-08-30,綜藝新歌榜,63,是你没选我啊,欢子/黄霄雲,天赐的声音第七季 第3期,2026-06-26,華語,2vpDf4zVuCI,"358,666"
2026-08-30,綜藝新歌榜,64,colt.45 (烈驹45号),弹壳,说唱巅峰对决2026 第1期,2026-06-27,華語,2MFEhEgTmn0,"1,615,073"
2026-08-30,綜藝新歌榜,65,周旋,王以太,披荆斩棘2026 初舞台,2026-08-16,華語,6WPWpadfJfI,"814,641"
2026-08-30,綜藝新歌榜,66,爱，很简单,孙楠/刘畊宏/王赫野,披荆斩棘2026  一公,2026-08-22,華語,OsGFt6Yz1SI,96
2026-08-30,綜藝新歌榜,67,春泥,金志文,国乐无双 第11期,2026-08-08,華語,w1yfCaZzOCc,"62,585"
2026-08-30,綜藝新歌榜,68,依兰爱情故事,岳云鹏/金志文/管乐,天赐的声音第七季 第3期,2026-06-26,華語,mDVbPLkssXI,"104,335"
2026-08-30,綜藝新歌榜,69,欢喜就好,杨宗纬/岳云鹏,天赐的声音第七季 第9期,2026-08-07,華語,xFylv8r_KPI,"214,833"
2026-08-30,綜藝新歌榜,70,半壶纱,郁可唯/金晨,天赐的声音第七季 第6期,2026-07-17,華語,vYS19ebfuAE,"221,193"
2026-08-30,綜藝新歌榜,71,同花顺,宋亚轩,国乐无双 第5期,2026-06-20,華語,WruTIPGb84U,"157,945"
2026-08-30,綜藝新歌榜,72,无人之岛,罗云熙/姚晓棠,天赐的声音第七季 第5期,2026-07-10,華語,Bv115M-BvQg,"5,325,330"
2026-08-30,綜藝新歌榜,73,二十二,宋亚轩,国乐无双 第10期,2026-08-01,華語,ZTR3tg6GirY,"55,412"
2026-08-30,綜藝新歌榜,74,空白格,黄晓明/刘雨昕,天赐的声音第七季 第10期,2026-08-14,華語,1kQeXfJQVkQ,"30,202"
2026-08-30,綜藝新歌榜,75,手掌,盛宇D-SHINE/加木,说唱巅峰对决2026 第3期,2026-07-11,華語,4W3xtg7jLVo,"78,886"
2026-08-30,綜藝新歌榜,76,一样的月光,曾沛慈,乘风2026 第7期,2026-05-23,華語,J28oOfvNVD8,"10,062,412"
2026-08-30,綜藝新歌榜,77,直来直往,姚晓棠,国乐无双 第12期,2026-08-15,華語,y0ASJqPr3m0,"13,539"
2026-08-30,綜藝新歌榜,78,被驯服的象,窦靖童/欧阳娜娜,歌手2026 第12期,2026-08-08,華語,m1DRtCeQHAc,"68,763"
2026-08-30,綜藝新歌榜,79,我要找到你,刘惜君,国乐无双 第5期,2026-06-20,華語,DtXgoZG_Q8E,"90,920"
2026-08-30,綜藝新歌榜,80,尕连手,赵骏,魔力歌先生 第9期,2026-05-08,華語,BgY8FqEM5mQ,"20,773"
2026-08-30,綜藝新歌榜,81,庙堂之外,胡彦斌,歌手2026 第8期,2026-07-11,華語,g8Ga9SBDi7M,"26,515"
2026-08-30,綜藝新歌榜,82,最好的伴,宝石Gem,最好的伴,2026-06-25,華語,zmJGRcO0wKw,"6,279"
2026-08-30,綜藝新歌榜,83,娱乐天空,宋亚轩,国乐无双 第11期,2026-08-08,華語,vFvH7kQiFyA,"14,341"
2026-08-30,綜藝新歌榜,84,爱错,王铮亮/黄子弘凡,天赐的声音第七季 第6期,2026-07-17,華語,7Oo9x9gGUNQ,"122,652"
2026-08-30,綜藝新歌榜,85,飞回乌鲁木齐,AThree,说唱巅峰对决2026 第8期,2026-08-15,華語,PN-hmI5CqEQ,"28,593"
2026-08-30,綜藝新歌榜,86,一个人想着一个人,姚晓棠/王栎鑫,天赐的声音第七季 第2期,2026-06-19,華語,7OSCbE5cs3M,"998,657"
2026-08-30,綜藝新歌榜,87,第一次爱的人,姚晓棠/袁一琦,音你而来3 第8期,2026-05-29,華語,EQBkiZKP-DA,"45,715"
2026-08-30,綜藝新歌榜,88,奔向你,张睿,披荆斩棘2026 初舞台,2026-08-16,華語,yRX2yEcc61k,"418,148"
2026-08-30,綜藝新歌榜,89,月光与吻痕,杨宗纬/欢子/喻言,天赐的声音第七季 第7期,2026-07-24,華語,N5COHYSS51o,"74,411"
2026-08-30,綜藝新歌榜,90,你看你看月亮的脸,张磊,魔力歌先生 第1期,2026-03-13,華語,xgZRTzxcJHU,"43,561"
2026-08-30,綜藝新歌榜,91,PeterPen (彼得潘),Rapeter/功夫胖KUNGFU-PEN,说唱巅峰对决2026 第3期,2026-07-11,華語,pEUK51Fomt0,"206,619"
2026-08-30,綜藝新歌榜,92,胆小鬼,宋亚轩,国乐无双 第2期,2026-05-30,華語,uS96KF4V_VA,"190,662"
2026-08-30,綜藝新歌榜,93,忐白门,莫文蔚,国乐无双 第6期,2026-06-27,華語,6vKU1g2Fgm0,"85,471"
2026-08-30,綜藝新歌榜,94,嘿陈会计,Rapeter,说唱巅峰对决2026 第4期,2026-07-18,華語,F5cdOTuaUmM,"103,772"
2026-08-30,綜藝新歌榜,95,寂寞寂寞不好,Ghost (王琳凯)/张新成,音你而来 - 特别解锁,2026-04-17,華語,2N5Toskbpvo,"21,054"
2026-08-30,綜藝新歌榜,96,等,余文乐,披荆斩棘2026 初舞台,2026-08-16,華語,TUt3cVD-uic,"67,409"
2026-08-30,綜藝新歌榜,97,第三人称,杨丞琳/王栎鑫,天赐的声音第七季 第8期,2026-07-31,華語,RJaoLKOzn0o,"65,761"
2026-08-30,綜藝新歌榜,98,西厢寻他,黄霄雲/刘宇,天赐的声音第七季 第5期,2026-07-10,華語,bEYpckbqqhs,"4,182,858"
2026-08-30,綜藝新歌榜,99,我好想你•一 一,王菀之,国乐无双 第4期,2026-06-13,華語,ctWxU3u2JD8,"98,400"
2026-08-30,綜藝新歌榜,100,了了,翁杰_Winjay/加木,说唱巅峰对决2026 第6期,2026-08-01,華語,vxqsvgq2ySQ,"226,327"
