抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,語言,YouTube ID,點閱率
2026-08-21,影視金曲榜,86,方寸之间,白鹿/丞磊,方寸之间,2026-06-03,華語,mykryGzMQ70,"164,894"
2026-08-21,影視金曲榜,87,风与花,何与,百花杀 原声音乐专辑,2026-07-28,華語,_Sjd3NVh1og,"17,872"
2026-08-21,影視金曲榜,88,一程人间,翟子路/马思超,一程人间,2026-07-05,華語,bCpdn-tqdjk,"6,975"
2026-08-21,影視金曲榜,89,一百颗星星,关晓彤/李昀锐,耀眼 影视原声带,2026-06-02,華語,GbHiF2op4rQ,"182,808"
2026-08-21,影視金曲榜,90,偷黄昏的人,莫非定律乐团,天才，女友 影视原声带,2026-08-04,華語,ORY0PmRHxD4,"4,385"
2026-08-21,影視金曲榜,91,孤剑吟,周深,雨霖铃 电视剧原声带,2026-05-22,華語,jQkuH-5Au28,"141,339"
2026-08-21,影視金曲榜,92,再珍重,黄景瑜,重器 电视原声带,2026-08-11,華語,JKMwGrEBxjo,857
2026-08-21,影視金曲榜,93,吹向花开,希林娜依高,灿如繁星 影视原声带,2026-07-06,華語,gcSdKIvM0bA,"10,743"
2026-08-21,影視金曲榜,94,Paper Flower,李遐怡,유부녀 킬러 OST Part 1,2026-08-01,韓語,tGyEwvglfxk,"80,909"
2026-08-21,影視金曲榜,95,入阵,戴荃,入阵,2026-08-18,華語,mwixk9rbhbY,938
2026-08-21,影視金曲榜,96,틀린그림찾기,Wonstein,최애의 사원 OST Part 1,2026-08-04,韓語,8i4-lw32qcw,"2,204,339"
2026-08-21,影視金曲榜,97,破晓以后,胡彦斌,破晓以后,2026-07-27,華語,U_2HmXsOqgs,"14,231"
2026-08-21,影視金曲榜,98,你只是你,谭维维,你只是你,2026-06-29,華語,wiA0u-YQG7Q,604
2026-08-21,影視金曲榜,99,如果宇宙有答案,黄子弘凡,如果宇宙有答案,2026-07-25,華語,4kXZl6yf4-I,727
2026-08-21,影視金曲榜,100,Beyond the Dream,DINO,"그대에게 드림 OST Part.1 (Dream to You, Pt. 1 (Original Soundtrack))",2026-07-13,韓語,xGVynrYFsHE,"145,883"
