video_id,yt_title,baseline_views,baseline_date,歌名,歌手,Initial Views,Initial Date
jPUfB7SYYmM,纯享丨弦子化身“侠女”与王唯乐演唱《不甘》 声音清脆悦耳充满了惊喜  #天赐的声音3 EP3 20220401,2569514.0,2026-08-11,-,-,-,-
B9cIUhIKQQo,【影視劇ost】章若楠&金靖 | 我愛的女孩《想你了》電影主題曲 Miss You Already Chinese Remake OST #章若楠 #金靖 #lyrics,1971.0,2026-08-11,-,-,-,-
6vKU1g2Fgm0,【纯享版】是真“忐忑”啊！#莫文蔚 创意演绎《忐白门》！将《忐忑》《留白》《西门少年》三首作品惊喜融合 碰撞出耳目一新的音乐火花！#国乐无双 EP6 20260627,77472.0,2026-08-11,-,-,-,-
96-OGtth6NM,海來阿木 - 夢底｜繁體拼音歌詞 CC字幕｜親親Fun音樂,329859.0,2026-08-11,-,-,-,-
lwnHvx5HsYo,王唯旖 - 倘若你愛一人『倘若你愛一人 你是否會追問，這份愛是片刻 還是持續得更深沉。』【高音質HD|動態歌詞Lyrics】♫,15574.0,2026-08-11,-,-,-,-
QK6qHEKiE_0,七元 - 後來遇見他·2026『後來遇見他 陪我春秋冬夏，癒合我的傷疤 大概我會一直幸福吧。』【動態歌詞MV】,1242.0,2026-08-11,-,-,-,-
TjRROzDZesk,【纯享版】神仙友谊！这一次#杨丞琳 #周笔畅 把对彼此的“喜欢”唱进歌里！用歌声诉说彼此的陪伴与温暖  #天赐的声音7 EP3 20260626,119856.0,2026-08-11,-,-,-,-
7Sux0jSdSfs,【纯享版】穿越时空的深情！#郁可唯 携手 #穆祉丞 深情演绎《想见你想见你想见你》！听一遍就忍不住循环！#天赐的声音7 EP3 20260626,242552.0,2026-08-11,-,-,-,-
aPzrLgtmBk4,王俊凯-如期『有生之年 只求 能如期』 【动态歌词Lyrics】(4K video),4416.0,2026-08-11,-,-,-,-
DuHRjbj81cw,【歌詞】林俊傑 - Always Online,2781950.0,2026-08-11,-,-,-,-
H7SSEIodiE4,競速遊戲,20459.0,2026-08-11,-,-,-,-
Juof_QKfgn8,【纯享版】孙楠白小白深情献唱《人生路漫漫》！加木更将一段Rap融入其中 为这首关于人生与陪伴的歌曲注入全新表达 将遗憾与坚持唱得直击人心！#天赐的声音7 EP1 20260612,27491.0,2026-08-11,-,-,-,-
xBOmrRTzi9M,【影視劇ost】小阿七 | 雲中鳥《花開錦繡》影視劇插曲 Escape to Your Heart OST #丁禹兮 #鄧恩熙 #lyrics #花開錦繡,2127.0,2026-08-11,-,-,-,-
NBIu5QpD3X8,SWEET SOUR,66136.0,2026-08-11,-,-,-,-
R-FdIwzlC_s,游向陆地的鱼,24981.0,2026-08-11,-,-,-,-
Up45ZAjL8_A,袖里长风（《百花杀》影视剧插曲）,28033.0,2026-08-11,-,-,-,-
hR1nuWCc31s,看我72变 (Live),670.0,2026-08-11,-,-,-,-
q7yhCr8mZOE,黄龄 - 黑童话《人鱼》网络剧片尾曲『在枕边听 黑童话，痛一下 开千朵花。』【4K无损|动态歌词 Lyrics】,496.0,2026-08-11,-,-,-,-
uon3hUO0eI8,上岸（《千香》网剧扶摇曲）,11750.0,2026-08-11,-,-,-,-
p8jMPe_9Qek,鮮花 (现场),4488526.0,2026-08-11,-,-,-,-
ahgtHwNlUaI,梓渝ZiYu ｜贰拾肆 Twenty-four,3423.0,2026-08-11,-,-,-,-
inxzQt78lOk,aespa エスパ 'KISS N TELL' MV,7584873.0,2026-08-11,-,-,-,-
8tBSJt1GZKQ,破晓以后（《蜘蛛侠：崭新之日》电影中文推广曲）,15708.0,2026-08-11,-,-,-,-
RJHxDOD66mk,Ariana Grande - Kiss Me More (with Doja Cat & SZA),5533220.0,2026-08-11,-,-,-,-
p20EtodL7Ug,【纯享版】#陈小春 深情翻唱粤语版《开始懂了》！低沉港味嗓音赋予经典情歌全新生命力 把成长后的遗憾与释怀唱得催泪又戳心！#国乐无双 EP10 20260801,172872.0,2026-08-11,-,-,-,-
