抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率
2026-08-12,綜藝新歌榜,53,同花顺,宋亚轩,国乐无双 第5期,2026-06-20,WruTIPGb84U,"135,401"
2026-08-12,綜藝新歌榜,54,半点心,王铮亮/灼海豚乐队,天赐的声音第七季 第8期,2026-07-31,UAqa0DG7csU,"7,095"
2026-08-12,綜藝新歌榜,55,西厢寻他,黄霄雲/刘宇,天赐的声音第七季 第5期,2026-07-10,bEYpckbqqhs,"4,121,003"
2026-08-12,綜藝新歌榜,56,暗涌,萨顶顶,国乐无双 第10期,2026-08-01,CA10OyyU2nA,"21,435"
2026-08-12,綜藝新歌榜,57,亲爱的你，好久不见,黄子弘凡/黄霄雲/孙楠/谭松韵/王铮亮/杨丞琳/姚晓棠/曾舜晞,《天赐的声音第七季》综艺主题曲,2026-06-12,Z6SeWv1-etI,"20,947"
2026-08-12,綜藝新歌榜,58,爱错,王铮亮/黄子弘凡,天赐的声音第七季 第6期,2026-07-17,7Oo9x9gGUNQ,"88,602"
2026-08-12,綜藝新歌榜,59,一个人想着一个人,姚晓棠/王栎鑫,天赐的声音第七季 第2期,2026-06-19,7OSCbE5cs3M,"913,427"
2026-08-12,綜藝新歌榜,60,Forever (永不凋零),弹壳/BrAnTB白景屹,说唱巅峰对决2026 第3期,2026-07-11,udB18Ur5Tgo,"38,981"
2026-08-12,綜藝新歌榜,61,雪崩,魏如萱,歌手2026 第10期,2026-07-25,PY9BsbHcMXg,"19,806"
2026-08-12,綜藝新歌榜,62,Trouble Maker (麻烦你了),那奇沃夫/Yamy郭颖,说唱巅峰对决2026 第3期,2026-07-11,BcR8bAFlFb4,"306,820"
2026-08-12,綜藝新歌榜,63,是非题,王赫野,音你而来3 第1期,2026-04-10,sc9LdPzku6Y,"1,657,092"
2026-08-12,綜藝新歌榜,64,手掌,盛宇D-SHINE/加木,说唱巅峰对决2026 第3期,2026-07-11,4W3xtg7jLVo,"63,695"
2026-08-12,綜藝新歌榜,65,人生路漫漫,孙楠/白小白/加木,天赐的声音第七季 第1期,2026-06-12,Juof_QKfgn8,"27,620"
2026-08-12,綜藝新歌榜,66,马桑树下,RANZER叶润泽/早安,说唱巅峰对决2026 第6期,2026-08-01,1p4ZGPzpbPI,"12,491"
2026-08-12,綜藝新歌榜,67,尕连手,赵骏,魔力歌先生 第9期,2026-05-08,BgY8FqEM5mQ,"19,045"
2026-08-12,綜藝新歌榜,68,第一次爱的人,姚晓棠/袁一琦,音你而来3 第8期,2026-05-29,EQBkiZKP-DA,"39,428"
2026-08-12,綜藝新歌榜,69,最好的伴,宝石Gem,最好的伴,2026-06-25,zmJGRcO0wKw,"5,078"
2026-08-12,綜藝新歌榜,70,我好想你•一 一,王菀之,国乐无双 第4期,2026-06-13,ctWxU3u2JD8,"87,940"
2026-08-12,綜藝新歌榜,71,梦底,张碧晨/海来阿木,歌手2026 第3期,2026-06-06,vL0kVZoQpEQ,"549,207"
2026-08-12,綜藝新歌榜,72,我要找到你,刘惜君,国乐无双 第5期,2026-06-20,DtXgoZG_Q8E,"76,993"
2026-08-12,綜藝新歌榜,73,爱人错过,王菀之,国乐无双 第9期,2026-07-25,E52qnW59iEE,"33,418,296"
2026-08-12,綜藝新歌榜,74,是你没选我啊,张新成/吉娜·爱丽丝,音你而来3 第9期,2026-06-05,Fv8K_Opd-_o,"21,206"
2026-08-12,綜藝新歌榜,75,忐白门,莫文蔚,国乐无双 第6期,2026-06-27,6vKU1g2Fgm0,"77,901"
2026-08-12,綜藝新歌榜,76,嘿陈会计,Rapeter,说唱巅峰对决2026 第4期,2026-07-18,F5cdOTuaUmM,"85,704"
2026-08-12,綜藝新歌榜,77,我爱的是爱我的你,杨宗纬/高睿,天赐的声音第七季 第5期,2026-07-10,KPnvtYmFe9c,"107,170"
2026-08-12,綜藝新歌榜,78,有我呢,陈楚生/姚晓棠,天赐的声音第七季 第3期,2026-06-26,nSz9i_Xq26Y,"267,403"
2026-08-12,綜藝新歌榜,79,River (河流),吉克隽逸/高睿,天赐的声音第七季 第7期,2026-07-24,5VW_Ci-hfxA,"3,531"
2026-08-12,綜藝新歌榜,80,寂寞寂寞不好,Ghost (王琳凯)/张新成,音你而来 - 特别解锁,2026-04-17,2N5Toskbpvo,"18,929"
2026-08-12,綜藝新歌榜,81,喜欢,杨丞琳/周笔畅,天赐的声音第七季 第3期,2026-06-26,TjRROzDZesk,"120,547"
2026-08-12,綜藝新歌榜,82,改变,窦靖童,歌手2026 第10期,2026-07-25,WXpbugS_RRY,"48,748"
2026-08-12,綜藝新歌榜,83,迟迟,薛之谦,天赐的声音第七季 第1期,2026-06-12,v41tTfBMxvw,"713,069"
2026-08-12,綜藝新歌榜,84,你看你看月亮的脸,张磊,魔力歌先生 第1期,2026-03-13,xgZRTzxcJHU,"42,584"
2026-08-12,綜藝新歌榜,85,心引力,周笔畅/田嘉瑞,天赐的声音第七季 第7期,2026-07-24,zfKyiLmtZeA,"25,343"
